Title,Platform,Genres,Rating,Wishlist,Plays,Backlogs,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year,Release_Year,Publisher
Mario vs. Donkey Kong,GBA,Platform,3.3,92.0,1500.0,252,1.17,0.68,0.25,0.21,0.02,2004.0,2004.0,Nintendo
Mario vs. Donkey Kong,GBA,Puzzle,3.3,92.0,1500.0,252,1.17,0.68,0.25,0.21,0.02,2004.0,2004.0,Nintendo
Remember Me,PS3,Adventure,2.9,239.0,1600.0,526,0.35,0.1,0.18,0.0,0.07,2013.0,2013.0,Capcom
Remember Me,X360,Adventure,2.9,239.0,1600.0,526,0.18,0.1,0.07,0.0,0.02,2013.0,2013.0,Capcom
Remember Me,PC,Adventure,2.9,239.0,1600.0,526,0.06,0.0,0.05,0.0,0.01,2013.0,2013.0,Capcom
Remember Me,PS3,Platform,2.9,239.0,1600.0,526,0.35,0.1,0.18,0.0,0.07,2013.0,2013.0,Capcom
Remember Me,X360,Platform,2.9,239.0,1600.0,526,0.18,0.1,0.07,0.0,0.02,2013.0,2013.0,Capcom
Remember Me,PC,Platform,2.9,239.0,1600.0,526,0.06,0.0,0.05,0.0,0.01,2013.0,2013.0,Capcom
Alpha Protocol,PS3,Rpg,3.3,182.0,987.0,511,0.43,0.19,0.18,0.0,0.07,2010.0,2010.0,Sega
Alpha Protocol,X360,Rpg,3.3,182.0,987.0,511,0.4,0.23,0.13,0.0,0.04,2010.0,2010.0,Sega
Alpha Protocol,PC,Rpg,3.3,182.0,987.0,511,0.04,0.0,0.03,0.0,0.01,2010.0,2010.0,Sega
Alpha Protocol,PS3,Shooter,3.3,182.0,987.0,511,0.43,0.19,0.18,0.0,0.07,2010.0,2010.0,Sega
Alpha Protocol,X360,Shooter,3.3,182.0,987.0,511,0.4,0.23,0.13,0.0,0.04,2010.0,2010.0,Sega
Alpha Protocol,PC,Shooter,3.3,182.0,987.0,511,0.04,0.0,0.03,0.0,0.01,2010.0,2010.0,Sega
Need for Speed: Hot Pursuit,PS3,Racing,3.3,54.0,2000.0,182,2.81,1.05,1.25,0.03,0.48,2010.0,2010.0,Electronic Arts
Need for Speed: Hot Pursuit,X360,Racing,3.3,54.0,2000.0,182,2.22,1.03,0.98,0.0,0.21,2010.0,2010.0,Electronic Arts
Need for Speed: Hot Pursuit,Wii,Racing,3.3,54.0,2000.0,182,0.48,0.18,0.24,0.0,0.05,2010.0,2010.0,Electronic Arts
Need for Speed: Hot Pursuit,PC,Racing,3.3,54.0,2000.0,182,0.38,0.12,0.2,0.0,0.06,2010.0,2010.0,Electronic Arts
Saints Row: Gat Out of Hell,PS4,Adventure,2.4,75.0,2000.0,412,0.05,0.0,0.04,0.0,0.01,2015.0,2015.0,Deep Silver
Saints Row: Gat Out of Hell,PS4,Shooter,2.4,75.0,2000.0,412,0.05,0.0,0.04,0.0,0.01,2015.0,2015.0,Deep Silver
Ratchet & Clank: Size Matters,PSP,Adventure,2.8,115.0,1500.0,287,3.77,1.4,1.4,0.1,0.87,2007.0,2007.0,Sony Computer Entertainment
Ratchet & Clank: Size Matters,PS2,Adventure,2.8,115.0,1500.0,287,0.29,0.13,0.1,0.03,0.03,2008.0,2007.0,Sony Computer Entertainment
Ratchet & Clank: Size Matters,PSP,Platform,2.8,115.0,1500.0,287,3.77,1.4,1.4,0.1,0.87,2007.0,2007.0,Sony Computer Entertainment
Ratchet & Clank: Size Matters,PS2,Platform,2.8,115.0,1500.0,287,0.29,0.13,0.1,0.03,0.03,2008.0,2007.0,Sony Computer Entertainment
Ratchet & Clank: Size Matters,PSP,Shooter,2.8,115.0,1500.0,287,3.77,1.4,1.4,0.1,0.87,2007.0,2007.0,Sony Computer Entertainment
Ratchet & Clank: Size Matters,PS2,Shooter,2.8,115.0,1500.0,287,0.29,0.13,0.1,0.03,0.03,2008.0,2007.0,Sony Computer Entertainment
Mario Power Tennis,GC,Sport,3.5,91.0,1900.0,146,1.22,0.58,0.16,0.46,0.03,2004.0,2004.0,Nintendo
Ms. Pac-Man,2600,Arcade,3.6,38.0,1600.0,45,1.65,1.54,0.1,0.0,0.02,1981.0,1982.0,Atari
Gun,PS2,Adventure,3.3,152.0,1400.0,276,1.17,0.98,0.04,0.0,0.16,2005.0,2005.0,Activision
Gun,XB,Adventure,3.3,152.0,1400.0,276,0.52,0.38,0.12,0.0,0.02,2005.0,2005.0,Activision
Gun,X360,Adventure,3.3,152.0,1400.0,276,0.27,0.24,0.01,0.0,0.02,,2005.0,Activision
Gun,GC,Adventure,3.3,152.0,1400.0,276,0.18,0.14,0.04,0.0,0.0,2005.0,2005.0,Activision
Naruto: Ultimate Ninja 3,PS2,Fighting,3.5,32.0,1900.0,67,0.44,0.36,0.01,0.0,0.06,2005.0,2005.0,Atari
Superman: The New Superman Adventures,N64,Adventure,0.7,55.0,859.0,76,0.41,0.33,0.07,0.0,0.0,1999.0,1999.0,Titus
Superman: The New Superman Adventures,N64,Shooter,0.7,55.0,859.0,76,0.41,0.33,0.07,0.0,0.0,1999.0,1999.0,Titus
The Lord of the Rings: The Two Towers,PS2,Adventure,3.3,72.0,1600.0,172,4.67,1.94,1.95,0.08,0.7,2002.0,2002.0,Electronic Arts
